#x	y	z	B_x	B_y	B_z
-0.01	0	0	4.61e-07	-4.44e-07	4.25e-07
-0.0098	0	0	4.6e-07	-4.44e-07	4.26e-07
-0.0096	0	0	4.59e-07	-4.44e-07	4.27e-07
-0.0094	0	0	4.59e-07	-4.44e-07	4.27e-07
-0.0092	0	0	4.58e-07	-4.44e-07	4.28e-07
-0.009	0	0	4.58e-07	-4.44e-07	4.28e-07
-0.0088	0	0	4.57e-07	-4.45e-07	4.29e-07
-0.0086	0	0	4.56e-07	-4.45e-07	4.29e-07
-0.0084	0	0	4.56e-07	-4.45e-07	4.3e-07
-0.0082	0	0	4.55e-07	-4.45e-07	4.3e-07
-0.008	0	0	4.55e-07	-4.45e-07	4.31e-07
-0.0078	0	0	4.54e-07	-4.45e-07	4.31e-07
-0.0076	0	0	4.54e-07	-4.45e-07	4.32e-07
-0.0074	0	0	4.53e-07	-4.45e-07	4.32e-07
-0.0072	0	0	4.53e-07	-4.46e-07	4.33e-07
-0.007	0	0	4.52e-07	-4.46e-07	4.33e-07
-0.0068	0	0	4.52e-07	-4.46e-07	4.34e-07
-0.0066	0	0	4.51e-07	-4.46e-07	4.34e-07
-0.0064	0	0	4.51e-07	-4.46e-07	4.34e-07
-0.0062	0	0	4.51e-07	-4.46e-07	4.35e-07
-0.006	0	0	4.5e-07	-4.46e-07	4.35e-07
-0.0058	0	0	4.5e-07	-4.46e-07	4.36e-07
-0.0056	0	0	4.5e-07	-4.46e-07	4.36e-07
-0.0054	0	0	4.49e-07	-4.46e-07	4.36e-07
-0.0052	0	0	4.49e-07	-4.46e-07	4.37e-07
-0.005	0	0	4.48e-07	-4.46e-07	4.37e-07
-0.0048	0	0	4.48e-07	-4.46e-07	4.38e-07
-0.0046	0	0	4.48e-07	-4.46e-07	4.38e-07
-0.0044	0	0	4.48e-07	-4.46e-07	4.38e-07
-0.0042	0	0	4.47e-07	-4.46e-07	4.39e-07
-0.004	0	0	4.47e-07	-4.46e-07	4.39e-07
-0.0038	0	0	4.47e-07	-4.46e-07	4.39e-07
-0.0036	0	0	4.47e-07	-4.46e-07	4.4e-07
-0.0034	0	0	4.46e-07	-4.46e-07	4.4e-07
