#x	y	z	B_x	B_y	B_z
-1	-1	-1	1.09e-08	2.72e-08	2.02e-08
-1	-1	-0.9	1.25e-08	3.24e-08	2.18e-08
-1	-1	-0.8	1.45e-08	3.83e-08	2.29e-08
-1	-1	-0.7	1.67e-08	4.48e-08	2.34e-08
-1	-1	-0.6	1.92e-08	5.18e-08	2.28e-08
-1	-1	-0.5	2.17e-08	5.91e-08	2.11e-08
-1	-1	-0.4	2.41e-08	6.61e-08	1.78e-08
-1	-1	-0.3	2.6e-08	7.26e-08	1.31e-08
-1	-1	-0.2	2.72e-08	7.8e-08	6.85e-09
-1	-1	-0.1	2.73e-08	8.19e-08	-4.94e-10
-1	-1	0	2.62e-08	8.38e-08	-8.5e-09
-1	-1	0.1	2.38e-08	8.37e-08	-1.66e-08
-1	-1	0.2	2.04e-08	8.15e-08	-2.41e-08
-1	-1	0.3	1.61e-08	7.75e-08	-3.07e-08
-1	-1	0.4	1.12e-08	7.21e-08	-3.58e-08
-1	-1	0.5	6.27e-09	6.57e-08	-3.93e-08
-1	-1	0.6	1.48e-09	5.88e-08	-4.13e-08
-1	-1	0.7	-2.87e-09	5.18e-08	-4.18e-08
-1	-1	0.8	-6.63e-09	4.5e-08	-4.12e-08
-1	-1	0.9	-9.74e-09	3.88e-08	-3.97e-08
-1	-1	1	-1.22e-08	3.31e-08	-3.76e-08
-1	-0.9	-1	1.45e-08	2.86e-08	2.42e-08
-1	-0.9	-0.9	1.7e-08	3.44e-08	2.65e-08
-1	-0.9	-0.8	2.01e-08	4.12e-08	2.83e-08
-1	-0.9	-0.7	2.36e-08	4.89e-08	2.92e-08
-1	-0.9	-0.6	2.76e-08	5.72e-08	2.9e-08
-1	-0.9	-0.5	3.18e-08	6.6e-08	2.71e-08
-1	-0.9	-0.4	3.59e-08	7.46e-08	2.34e-08
-1	-0.9	-0.3	3.93e-08	8.26e-08	1.75e-08
-1	-0.9	-0.2	4.17e-08	8.93e-08	9.75e-09
-1	-0.9	-0.1	4.24e-08	9.41e-08	4.04e-10
-1	-0.9	0	4.14e-08	9.66e-08	-9.84e-09
-1	-0.9	0.1	3.85e-08	9.65e-08	-2.02e-08
-1	-0.9	0.2	3.38e-08	9.38e-08	-2.98e-08
-1	-0.9	0.3	2.78e-08	8.88e-08	-3.79e-08
-1	-0.9	0.4	2.11e-08	8.21e-08	-4.42e-08
-1	-0.9	0.5	1.41e-08	7.42e-08	-4.83e-08
-1	-0.9	0.6	7.48e-09	6.58e-08	-5.03e-08
-1	-0.9	0.7	1.45e-09	5.74e-08	-5.05e-08
-1	-0.9	0.8	-3.71e-09	4.94e-08	-4.92e-08
-1	-0.9	0.9	-7.92e-09	4.21e-08	-4.69e-08
-1	-0.9	1	-1.12e-08	3.55e-08	-4.4e-08
