#x/m	y/m	z/m	B_x/T	B_y/T	B_z/T
-0.5	0	0	2.8338e-05	1.8529e-22	-1.3235e-22
-0.4899	0	0	2.8699e-05	7.9409e-23	-7.9409e-23
-0.4798	0	0	2.903e-05	7.9409e-23	-1.5882e-22
-0.4697	0	0	2.9329e-05	-3.1764e-22	3.1764e-22
-0.4596	0	0	2.9594e-05	5.294e-23	-5.294e-23
-0.44949	0	0	2.9825e-05	-1.0588e-22	1.0588e-22
-0.43939	0	0	3.0019e-05	-7.9409e-23	7.9409e-23
-0.42929	0	0	3.0177e-05	-1.3235e-22	1.3235e-22
-0.41919	0	0	3.0298e-05	-5.294e-23	5.294e-23
-0.40909	0	0	3.0382e-05	-2.647e-23	2.647e-23
-0.39899	0	0	3.0428e-05	-2.647e-23	2.647e-23
-0.38889	0	0	3.0438e-05	0	0
-0.37879	0	0	3.0411e-05	2.647e-23	-2.647e-23
-0.36869	0	0	3.035e-05	-3.7058e-22	1.5882e-22
-0.35859	0	0	3.0255e-05	2.647e-23	-2.647e-23
-0.34848	0	0	3.0128e-05	2.9117e-22	-7.9409e-23
-0.33838	0	0	2.9971e-05	1.0588e-22	-1.0588e-22
-0.32828	0	0	2.9785e-05	-2.9117e-22	2.9117e-22
-0.31818	0	0	2.9574e-05	2.647e-23	-2.647e-23
-0.30808	0	0	2.9339e-05	2.647e-23	-2.647e-23
-0.29798	0	0	2.9082e-05	5.294e-23	-5.294e-23
-0.28788	0	0	2.8807e-05	3.7058e-22	-2.3823e-22
-0.27778	0	0	2.8516e-05	-4.4999e-22	4.4999e-22
-0.26768	0	0	2.8211e-05	2.3823e-22	-5.5587e-22
-0.25758	0	0	2.7896e-05	-1.5882e-22	-4.4999e-22
-0.24747	0	0	2.7572e-05	1.3235e-22	-1.3235e-22
-0.23737	0	0	2.7242e-05	4.4999e-22	-4.4999e-22
-0.22727	0	0	2.6909e-05	-3.7058e-22	3.7058e-22
-0.21717	0	0	2.6574e-05	2.9117e-22	-1.8529e-22
-0.20707	0	0	2.6241e-05	6.3527e-22	-1.0588e-21
-0.19697	0	0	2.5912e-05	-7.9409e-23	5.0293e-22
-0.18687	0	0	2.5587e-05	5.294e-23	-4.7646e-22
-0.17677	0	0	2.527e-05	-7.1468e-22	7.1468e-22
-0.16667	0	0	2.4961e-05	-5.294e-22	5.294e-22
-0.15657	0	0	2.4664e-05	-2.1176e-22	2.647e-22
-0.14646	0	0	2.4378e-05	-2.1176e-22	1.0588e-22
-0.13636	0	0	2.4106e-05	-1.0588e-22	9.5291e-22
-0.12626	0	0	2.3848e-05	3.1764e-22	-3.1764e-22
-0.11616	0	0	2.3606e-05	-3.1764e-22	4.2352e-22
-0.10606	0	0	2.3382e-05	-1.1117e-21	3.7058e-22
-0.09596	0	0	2.3175e-05	5.294e-22	-5.294e-22
-0.085859	0	0	2.2986e-05	-3.1764e-22	3.1764e-22
-0.075758	0	0	2.2817e-05	2.647e-23	-2.647e-23
-0.065657	0	0	2.2668e-05	-4.2352e-22	2.1176e-22
-0.055556	0	0	2.2539e-05	5.5587e-22	7.9409e-23
-0.045455	0	0	2.243e-05	4.4999e-22	-4.4999e-22
-0.035354	0	0	2.2344e-05	8.735e-22	-4.4999e-22
-0.025253	0	0	2.2278e-05	-2.9117e-22	-1.3235e-22
-0.015152	0	0	2.2234e-05	-3.1764e-22	-1.0588e-22
-0.0050505	0	0	2.2213e-05	2.3823e-22	-2.647e-23
0.0050505	0	0	2.2213e-05	-7.9409e-23	1.8529e-22
0.015152	0	0	2.2234e-05	2.647e-23	-2.647e-23
0.025253	0	0	2.2278e-05	3.7058e-22	4.7646e-22
0.035354	0	0	2.2344e-05	-1.3235e-22	3.4411e-22
0.045455	0	0	2.243e-05	1.5882e-22	5.294e-23
0.055556	0	0	2.2539e-05	-8.735e-22	8.735e-22
0.065657	0	0	2.2668e-05	-1.0588e-22	1.0588e-22
0.075758	0	0	2.2817e-05	-3.1764e-22	3.1764e-22
0.085859	0	0	2.2986e-05	0	0
0.09596	0	0	2.3175e-05	2.3823e-22	-2.3823e-22
0.10606	0	0	2.3382e-05	1.0588e-22	-1.0588e-22
0.11616	0	0	2.3606e-05	5.0293e-22	1.3235e-22
0.12626	0	0	2.3848e-05	3.1764e-22	-1.0588e-22
0.13636	0	0	2.4106e-05	-1.5882e-22	1.5882e-22
0.14646	0	0	2.4378e-05	3.7058e-22	3.1764e-22
0.15657	0	0	2.4664e-05	-2.647e-23	-3.9705e-22
0.16667	0	0	2.4961e-05	-5.294e-23	5.294e-23
0.17677	0	0	2.527e-05	-1.8529e-22	1.8529e-22
0.18687	0	0	2.5587e-05	-5.0293e-22	-2.647e-23
0.19697	0	0	2.5912e-05	4.2352e-22	0
0.20707	0	0	2.6241e-05	3.4411e-22	1.3235e-22
0.21717	0	0	2.6574e-05	3.7058e-22	5.294e-23
0.22727	0	0	2.6909e-05	2.647e-23	-2.647e-23
0.23737	0	0	2.7242e-05	-5.0293e-22	2.9117e-22
0.24747	0	0	2.7572e-05	4.4999e-22	-3.4411e-22
0.25758	0	0	2.7896e-05	-2.9117e-22	2.9117e-22
0.26768	0	0	2.8211e-05	-5.294e-23	3.7058e-22
0.27778	0	0	2.8516e-05	1.3235e-22	-1.3235e-22
0.28788	0	0	2.8807e-05	1.5882e-22	5.294e-23
0.29798	0	0	2.9082e-05	-7.9409e-23	-2.647e-22
0.30808	0	0	2.9339e-05	1.7205e-22	-4.3675e-22
0.31818	0	0	2.9574e-05	2.5146e-22	-2.5146e-22
0.32828	0	0	2.9785e-05	-1.8529e-22	1.8529e-22
0.33838	0	0	2.9971e-05	-1.1911e-22	0
0.34848	0	0	3.0128e-05	-2.1176e-22	-5.294e-23
0.35859	0	0	3.0255e-05	-3.9705e-23	3.9705e-23
0.36869	0	0	3.035e-05	1.9852e-22	-1.9852e-22
0.37879	0	0	3.0411e-05	-7.9409e-23	5.9557e-23
0.38889	0	0	3.0438e-05	1.9852e-23	-4.6322e-23
0.39899	0	0	3.0428e-05	2.9779e-23	-2.9779e-23
0.40909	0	0	3.0382e-05	2.2747e-22	-2.2747e-22
0.41919	0	0	3.0298e-05	4.4668e-23	-4.4668e-23
0.42929	0	0	3.0177e-05	1.0257e-22	-1.0257e-22
0.43939	0	0	3.0019e-05	7.2792e-23	-1.9852e-23
0.44949	0	0	2.9825e-05	2.1176e-22	-2.1176e-22
0.4596	0	0	2.9594e-05	1.9852e-23	-1.0588e-22
0.4697	0	0	2.9329e-05	-1.125e-22	-2.8455e-22
0.4798	0	0	2.903e-05	-3.5734e-22	4.6322e-22
0.4899	0	0	2.8699e-05	-1.4558e-22	-2.647e-23
0.5	0	0	2.8338e-05	-2.647e-22	2.647e-22
