#x/m	y/m	z/m	B_x/T	B_y/T	B_z/T
-0.5	0	0	2.909e-05	-7.9409e-23	-5.294e-23
-0.4899	0	0	2.9609e-05	1.9852e-22	5.8234e-22
-0.4798	0	0	3.0084e-05	-2.7793e-22	7.9409e-23
-0.4697	0	0	3.0508e-05	1.7205e-22	5.294e-23
-0.4596	0	0	3.0879e-05	-7.9409e-23	0
-0.44949	0	0	3.1192e-05	3.9705e-23	0
-0.43939	0	0	3.1444e-05	-1.3235e-23	7.9409e-23
-0.42929	0	0	3.1634e-05	-1.9852e-22	-1.5882e-22
-0.41919	0	0	3.1759e-05	-7.9409e-23	1.8529e-22
-0.40909	0	0	3.182e-05	3.9705e-23	-1.3235e-22
-0.39899	0	0	3.1815e-05	1.7205e-22	-2.1176e-22
-0.38889	0	0	3.1747e-05	-1.3235e-23	7.9409e-23
-0.37879	0	0	3.1617e-05	-2.647e-23	-1.3235e-22
-0.36869	0	0	3.1427e-05	-1.3235e-23	3.9705e-22
-0.35859	0	0	3.1182e-05	-1.9852e-22	-7.9409e-23
-0.34848	0	0	3.0884e-05	5.294e-23	-5.5587e-22
-0.33838	0	0	3.0539e-05	2.9117e-22	-1.3235e-22
-0.32828	0	0	3.0151e-05	2.5146e-22	-7.9409e-23
-0.31818	0	0	2.9725e-05	-5.294e-23	-8.4703e-22
-0.30808	0	0	2.9266e-05	0	-2.9117e-22
-0.29798	0	0	2.878e-05	1.5882e-22	3.1764e-22
-0.28788	0	0	2.8272e-05	-5.294e-23	-3.4411e-22
-0.27778	0	0	2.7747e-05	2.3823e-22	4.7646e-22
-0.26768	0	0	2.721e-05	-2.9117e-22	0
-0.25758	0	0	2.6665e-05	-5.294e-23	-2.1176e-22
-0.24747	0	0	2.6117e-05	-7.9409e-23	-1.0059e-21
-0.23737	0	0	2.557e-05	1.0588e-22	-1.3235e-22
-0.22727	0	0	2.5028e-05	7.9409e-23	-4.7646e-22
-0.21717	0	0	2.4494e-05	-1.0588e-22	2.647e-23
-0.20707	0	0	2.397e-05	-6.3527e-22	-2.647e-22
-0.19697	0	0	2.3461e-05	-2.1176e-22	8.9997e-22
-0.18687	0	0	2.2968e-05	-4.7646e-22	1.3235e-22
-0.17677	0	0	2.2492e-05	-1.3235e-22	2.3823e-22
-0.16667	0	0	2.2037e-05	3.1764e-22	-6.088e-22
-0.15657	0	0	2.1604e-05	1.3235e-22	-1.35e-21
-0.14646	0	0	2.1193e-05	0	-1.3235e-22
-0.13636	0	0	2.0806e-05	-2.647e-22	-7.1468e-22
-0.12626	0	0	2.0445e-05	-2.3823e-22	8.4703e-22
-0.11616	0	0	2.0109e-05	-5.294e-23	-1.0853e-21
-0.10606	0	0	1.98e-05	-1.5882e-22	-1.0588e-21
-0.09596	0	0	1.9517e-05	1.0588e-22	2.647e-22
-0.085859	0	0	1.9262e-05	-1.3235e-22	-2.647e-22
-0.075758	0	0	1.9035e-05	2.647e-22	6.8821e-22
-0.065657	0	0	1.8835e-05	7.9409e-23	-3.1764e-22
-0.055556	0	0	1.8664e-05	-5.294e-23	5.294e-23
-0.045455	0	0	1.8521e-05	-3.4411e-22	-1.0588e-22
-0.035354	0	0	1.8407e-05	0	-3.1764e-22
-0.025253	0	0	1.8321e-05	2.3823e-22	-9.5291e-22
-0.015152	0	0	1.8264e-05	3.9705e-22	-5.294e-22
-0.0050505	0	0	1.8235e-05	5.0293e-22	1.0588e-22
0.0050505	0	0	1.8235e-05	-3.9705e-22	4.7646e-22
0.015152	0	0	1.8264e-05	-3.1764e-22	-7.4115e-22
0.025253	0	0	1.8321e-05	-2.1176e-22	5.294e-22
0.035354	0	0	1.8407e-05	3.1764e-22	-5.294e-23
0.045455	0	0	1.8521e-05	-2.1176e-22	-8.4703e-22
0.055556	0	0	1.8664e-05	2.647e-23	-2.1176e-22
0.065657	0	0	1.8835e-05	-2.3823e-22	-5.294e-23
0.075758	0	0	1.9035e-05	-2.3823e-22	7.9409e-22
0.085859	0	0	1.9262e-05	7.9409e-23	5.294e-23
0.09596	0	0	1.9517e-05	1.5882e-22	-4.2352e-22
0.10606	0	0	1.98e-05	-5.5587e-22	-5.294e-22
0.11616	0	0	2.0109e-05	-5.294e-23	2.647e-22
0.12626	0	0	2.0445e-05	1.3235e-22	5.8234e-22
0.13636	0	0	2.0806e-05	5.294e-23	4.2352e-22
0.14646	0	0	2.1193e-05	2.1176e-22	0
0.15657	0	0	2.1604e-05	-7.9409e-23	-4.2352e-22
0.16667	0	0	2.2037e-05	-2.9117e-22	6.3527e-22
0.17677	0	0	2.2492e-05	-5.294e-23	-1.0588e-21
0.18687	0	0	2.2968e-05	7.9409e-23	5.294e-22
0.19697	0	0	2.3461e-05	-5.294e-23	2.647e-22
0.20707	0	0	2.397e-05	2.3823e-22	8.4703e-22
0.21717	0	0	2.4494e-05	1.8529e-22	2.647e-22
0.22727	0	0	2.5028e-05	-1.8529e-22	-1.3764e-21
0.23737	0	0	2.557e-05	-5.294e-23	-3.9705e-22
0.24747	0	0	2.6117e-05	2.3823e-22	-6.3527e-22
0.25758	0	0	2.6665e-05	-1.8529e-22	3.4411e-22
0.26768	0	0	2.721e-05	-5.294e-22	1.0588e-21
0.27778	0	0	2.7747e-05	0	-4.4999e-22
0.28788	0	0	2.8272e-05	1.5882e-22	8.2056e-22
0.29798	0	0	2.878e-05	1.3235e-23	6.6174e-22
0.30808	0	0	2.9266e-05	1.8529e-22	5.294e-22
0.31818	0	0	2.9725e-05	1.7205e-22	7.9409e-23
0.32828	0	0	3.0151e-05	-1.4558e-22	-4.7646e-22
0.33838	0	0	3.0539e-05	7.9409e-23	1.0588e-22
0.34848	0	0	3.0884e-05	-1.4558e-22	4.6322e-22
0.35859	0	0	3.1182e-05	2.8455e-22	-5.294e-23
0.36869	0	0	3.1427e-05	5.294e-23	1.4558e-22
0.37879	0	0	3.1617e-05	2.2499e-22	-3.8381e-22
0.38889	0	0	3.1747e-05	2.3161e-23	-4.6322e-23
0.39899	0	0	3.1815e-05	-1.522e-22	2.0183e-22
0.40909	0	0	3.182e-05	2.4898e-22	-4.0366e-22
0.41919	0	0	3.1759e-05	8.7681e-23	-1.6213e-22
0.42929	0	0	3.1634e-05	1.9356e-22	1.1581e-22
0.43939	0	0	3.1444e-05	8.9336e-23	-1.7205e-22
0.44949	0	0	3.1192e-05	1.0588e-22	1.3897e-22
0.4596	0	0	3.0879e-05	1.3897e-22	3.8381e-22
0.4697	0	0	3.0508e-05	-1.9852e-23	-1.1911e-22
0.4798	0	0	3.0084e-05	0	-1.1911e-22
0.4899	0	0	2.9609e-05	1.3235e-22	-5.294e-23
