#x	y	z	B_x	B_y	B_z
-1	-1	-1	7.06e-09	1.34e-08	1.11e-08
-1	-1	-0.9	8.19e-09	1.58e-08	1.18e-08
-1	-1	-0.8	9.49e-09	1.86e-08	1.22e-08
-1	-1	-0.7	1.09e-08	2.17e-08	1.23e-08
-1	-1	-0.6	1.24e-08	2.48e-08	1.18e-08
-1	-1	-0.5	1.39e-08	2.81e-08	1.08e-08
-1	-1	-0.4	1.53e-08	3.12e-08	9.06e-09
-1	-1	-0.3	1.63e-08	3.4e-08	6.67e-09
-1	-1	-0.2	1.69e-08	3.64e-08	3.67e-09
-1	-1	-0.1	1.7e-08	3.81e-08	2.01e-10
-1	-1	0	1.65e-08	3.9e-08	-3.54e-09
-1	-1	0.1	1.53e-08	3.91e-08	-7.31e-09
-1	-1	0.2	1.36e-08	3.83e-08	-1.09e-08
-1	-1	0.3	1.14e-08	3.68e-08	-1.4e-08
-1	-1	0.4	8.9e-09	3.47e-08	-1.65e-08
-1	-1	0.5	6.27e-09	3.2e-08	-1.84e-08
-1	-1	0.6	3.66e-09	2.91e-08	-1.96e-08
-1	-1	0.7	1.2e-09	2.61e-08	-2.01e-08
-1	-1	0.8	-9.95e-10	2.3e-08	-2e-08
-1	-1	0.9	-2.88e-09	2.01e-08	-1.95e-08
-1	-1	1	-4.43e-09	1.74e-08	-1.86e-08
-1	-0.9	-1	9.17e-09	1.38e-08	1.3e-08
-1	-0.9	-0.9	1.08e-08	1.66e-08	1.4e-08
-1	-0.9	-0.8	1.27e-08	1.97e-08	1.46e-08
-1	-0.9	-0.7	1.47e-08	2.31e-08	1.48e-08
-1	-0.9	-0.6	1.7e-08	2.68e-08	1.44e-08
-1	-0.9	-0.5	1.92e-08	3.05e-08	1.32e-08
-1	-0.9	-0.4	2.12e-08	3.41e-08	1.12e-08
-1	-0.9	-0.3	2.29e-08	3.74e-08	8.3e-09
-1	-0.9	-0.2	2.4e-08	4.02e-08	4.63e-09
-1	-0.9	-0.1	2.43e-08	4.22e-08	3.52e-10
-1	-0.9	0	2.38e-08	4.34e-08	-4.26e-09
-1	-0.9	0.1	2.24e-08	4.35e-08	-8.91e-09
-1	-0.9	0.2	2.02e-08	4.26e-08	-1.33e-08
-1	-0.9	0.3	1.73e-08	4.09e-08	-1.71e-08
-1	-0.9	0.4	1.4e-08	3.84e-08	-2.01e-08
-1	-0.9	0.5	1.05e-08	3.53e-08	-2.23e-08
-1	-0.9	0.6	7.03e-09	3.19e-08	-2.35e-08
-1	-0.9	0.7	3.78e-09	2.84e-08	-2.4e-08
-1	-0.9	0.8	8.83e-10	2.49e-08	-2.37e-08
