#x/m	y/m	z/m	B_x/T	B_y/T	B_z/T
-0.5	0	0	4.3291e-06	1.3235e-23	-1.6544e-24
-0.4899	0	0	4.3744e-06	6.6174e-24	9.9262e-24
-0.4798	0	0	4.4164e-06	9.2644e-23	-6.6174e-24
-0.4697	0	0	4.4551e-06	7.2792e-23	-9.9262e-24
-0.4596	0	0	4.4902e-06	-1.9852e-23	-6.6174e-24
-0.44949	0	0	4.5216e-06	1.9852e-23	6.6174e-24
-0.43939	0	0	4.5493e-06	6.6174e-24	-1.6544e-24
-0.42929	0	0	4.5731e-06	5.294e-23	1.4889e-23
-0.41919	0	0	4.5931e-06	-2.647e-23	9.9262e-24
-0.40909	0	0	4.6091e-06	1.3235e-23	3.3087e-24
-0.39899	0	0	4.6213e-06	3.3087e-23	-1.6544e-24
-0.38889	0	0	4.6296e-06	6.6174e-24	-1.4889e-23
-0.37879	0	0	4.6342e-06	5.294e-23	1.8198e-23
-0.36869	0	0	4.6351e-06	1.9852e-23	-9.9262e-24
-0.35859	0	0	4.6324e-06	-6.6174e-23	1.4889e-23
-0.34848	0	0	4.6264e-06	1.3897e-22	-2.647e-23
-0.33838	0	0	4.6172e-06	-4.6322e-23	2.9779e-23
-0.32828	0	0	4.605e-06	5.294e-23	1.3235e-23
-0.31818	0	0	4.59e-06	-1.4558e-22	2.3161e-23
-0.30808	0	0	4.5724e-06	-1.3235e-22	9.9262e-24
-0.29798	0	0	4.5525e-06	1.125e-22	2.1507e-23
-0.28788	0	0	4.5305e-06	-3.3087e-23	-4.1359e-23
-0.27778	0	0	4.5067e-06	-1.0588e-22	-3.3087e-24
-0.26768	0	0	4.4813e-06	1.6544e-22	-3.3087e-24
-0.25758	0	0	4.4546e-06	1.3235e-23	-4.9631e-24
-0.24747	0	0	4.4268e-06	-4.6322e-23	6.6174e-24
-0.23737	0	0	4.3982e-06	5.294e-23	0
-0.22727	0	0	4.3691e-06	-6.6174e-24	1.6544e-24
-0.21717	0	0	4.3396e-06	5.294e-23	-1.3235e-23
-0.20707	0	0	4.31e-06	-1.9191e-22	-4.9631e-24
-0.19697	0	0	4.2805e-06	-9.9262e-23	-1.9852e-23
-0.18687	0	0	4.2513e-06	0	-2.3161e-23
-0.17677	0	0	4.2226e-06	1.522e-22	1.4889e-23
-0.16667	0	0	4.1946e-06	6.6174e-24	-3.4742e-23
-0.15657	0	0	4.1675e-06	-1.9852e-23	-2.1507e-23
-0.14646	0	0	4.1413e-06	-1.3897e-22	2.3161e-23
-0.13636	0	0	4.1163e-06	1.6544e-22	1.9852e-23
-0.12626	0	0	4.0926e-06	3.3087e-23	-1.6544e-23
-0.11616	0	0	4.0703e-06	-3.9705e-23	-4.9631e-24
-0.10606	0	0	4.0495e-06	-1.2573e-22	1.9852e-23
