#x/m	y/m	z/m	B_x/T	B_y/T	B_z/T
-0.5	0	0	1.3227e-05	-6.6174e-23	2.647e-23
-0.4899	0	0	1.3365e-05	-1.1911e-22	3.9705e-23
-0.4798	0	0	1.3493e-05	-1.3235e-23	-2.647e-23
-0.4697	0	0	1.3611e-05	-5.294e-23	-7.2792e-23
-0.4596	0	0	1.3719e-05	-1.4558e-22	-4.6322e-23
-0.44949	0	0	1.3815e-05	-7.9409e-23	1.3235e-23
-0.43939	0	0	1.3899e-05	1.3235e-23	6.6174e-23
-0.42929	0	0	1.3972e-05	-9.2644e-23	6.6174e-24
-0.41919	0	0	1.4033e-05	2.647e-23	7.2792e-23
-0.40909	0	0	1.4082e-05	1.0588e-22	-1.3235e-23
-0.39899	0	0	1.4119e-05	7.9409e-23	3.9705e-23
-0.38889	0	0	1.4145e-05	3.1764e-22	4.6322e-23
-0.37879	0	0	1.4159e-05	-1.5882e-22	1.9852e-23
-0.36869	0	0	1.4161e-05	1.0588e-22	-1.3235e-23
-0.35859	0	0	1.4153e-05	3.5734e-22	-1.3235e-23
-0.34848	0	0	1.4135e-05	1.5882e-22	-6.6174e-24
-0.33838	0	0	1.4107e-05	1.0588e-22	0
-0.32828	0	0	1.4069e-05	2.3823e-22	-7.9409e-23
-0.31818	0	0	1.4023e-05	3.4411e-22	-1.3235e-23
-0.30808	0	0	1.397e-05	-3.4411e-22	-2.647e-23
-0.29798	0	0	1.3909e-05	3.1764e-22	0
-0.28788	0	0	1.3842e-05	2.1176e-22	3.3087e-23
-0.27778	0	0	1.3769e-05	0	1.3235e-23
-0.26768	0	0	1.3691e-05	-1.9852e-22	6.6174e-24
-0.25758	0	0	1.361e-05	2.5146e-22	-6.6174e-24
-0.24747	0	0	1.3525e-05	-3.7058e-22	1.0588e-22
-0.23737	0	0	1.3438e-05	-7.9409e-23	1.3235e-23
-0.22727	0	0	1.3349e-05	1.1911e-22	6.6174e-24
-0.21717	0	0	1.3259e-05	-1.3235e-22	3.9705e-23
-0.20707	0	0	1.3168e-05	-1.5882e-22	-1.9852e-23
-0.19697	0	0	1.3078e-05	1.3235e-23	0
-0.18687	0	0	1.2989e-05	-1.5882e-22	-6.6174e-24
-0.17677	0	0	1.2901e-05	-4.3675e-22	-2.647e-23
-0.16667	0	0	1.2816e-05	-5.294e-23	-3.3087e-23
-0.15657	0	0	1.2733e-05	-5.294e-23	4.6322e-23
-0.14646	0	0	1.2653e-05	-7.1468e-22	-1.9852e-23
-0.13636	0	0	1.2576e-05	3.9705e-23	-9.9262e-23
-0.12626	0	0	1.2504e-05	-5.9557e-22	3.9705e-23
-0.11616	0	0	1.2436e-05	1.1911e-22	6.6174e-24
-0.10606	0	0	1.2372e-05	-2.1176e-22	1.9852e-23
-0.09596	0	0	1.2313e-05	1.8529e-22	-8.6027e-23
-0.085859	0	0	1.226e-05	5.4263e-22	1.0588e-22
-0.075758	0	0	1.2212e-05	-1.5882e-22	-5.9557e-23
-0.065657	0	0	1.2169e-05	-2.5146e-22	-7.9409e-23
-0.055556	0	0	1.2132e-05	-3.3087e-22	-5.9557e-23
-0.045455	0	0	1.2101e-05	2.647e-22	-5.9557e-23
-0.035354	0	0	1.2077e-05	-6.6174e-22	-3.3087e-23
-0.025253	0	0	1.2058e-05	2.3823e-22	1.9852e-23
-0.015152	0	0	1.2045e-05	5.691e-22	-2.647e-23
-0.0050505	0	0	1.2039e-05	3.9705e-23	5.294e-23
0.0050505	0	0	1.2039e-05	-1.0191e-21	-3.9705e-23
0.015152	0	0	1.2045e-05	2.9117e-22	1.9852e-23
0.025253	0	0	1.2058e-05	-1.9852e-22	-1.9852e-23
0.035354	0	0	1.2077e-05	-1.8529e-22	1.3235e-23
0.045455	0	0	1.2101e-05	-2.3823e-22	3.3087e-23
0.055556	0	0	1.2132e-05	1.0985e-21	-3.3087e-23
0.065657	0	0	1.2169e-05	2.7793e-22	-4.6322e-23
0.075758	0	0	1.2212e-05	-2.9117e-22	1.3235e-23
0.085859	0	0	1.226e-05	5.294e-23	0
0.09596	0	0	1.2313e-05	0	-5.9557e-23
0.10606	0	0	1.2372e-05	3.1764e-22	-7.9409e-23
0.11616	0	0	1.2436e-05	1.1911e-22	2.3161e-23
0.12626	0	0	1.2504e-05	-2.2499e-22	-9.5953e-23
0.13636	0	0	1.2576e-05	-3.4411e-22	5.9557e-23
0.14646	0	0	1.2653e-05	4.7646e-22	2.3161e-23
0.15657	0	0	1.2733e-05	-4.1028e-22	-2.9779e-23
0.16667	0	0	1.2816e-05	4.6322e-22	6.6174e-24
0.17677	0	0	1.2901e-05	2.1176e-22	1.3235e-23
0.18687	0	0	1.2989e-05	0	-2.9779e-23
0.19697	0	0	1.3078e-05	-3.9705e-23	-1.2904e-22
0.20707	0	0	1.3168e-05	9.2644e-23	-1.3235e-23
0.21717	0	0	1.3259e-05	-3.5734e-22	1.9852e-23
0.22727	0	0	1.3349e-05	-6.6174e-23	2.3161e-23
0.23737	0	0	1.3438e-05	3.9705e-23	6.6174e-24
0.24747	0	0	1.3525e-05	3.3087e-23	-7.2792e-23
0.25758	0	0	1.361e-05	1.7205e-22	2.647e-23
0.26768	0	0	1.3691e-05	3.1102e-22	2.4815e-23
0.27778	0	0	1.3769e-05	-3.3087e-23	1.6544e-24
0.28788	0	0	1.3842e-05	-2.3161e-22	3.1433e-23
0.29798	0	0	1.3909e-05	7.2792e-23	-3.9705e-23
0.30808	0	0	1.397e-05	4.6322e-23	-8.2718e-24
0.31818	0	0	1.4023e-05	-6.4189e-22	1.6544e-23
0.32828	0	0	1.4069e-05	-2.647e-22	-3.4742e-23
0.33838	0	0	1.4107e-05	6.6174e-23	-1.6544e-23
0.34848	0	0	1.4135e-05	-2.1838e-22	0
0.35859	0	0	1.4153e-05	3.6396e-23	1.3235e-23
0.36869	0	0	1.4161e-05	1.3566e-22	4.0532e-23
0.37879	0	0	1.4159e-05	1.3731e-22	7.031e-23
0.38889	0	0	1.4145e-05	-3.1433e-22	-4.4668e-23
0.39899	0	0	1.4119e-05	-7.4446e-23	-3.9911e-23
0.40909	0	0	1.4082e-05	-7.4446e-24	1.3545e-23
0.41919	0	0	1.4033e-05	-2.709e-23	-7.3567e-23
0.42929	0	0	1.3972e-05	7.8582e-23	-7.031e-24
0.43939	0	0	1.3899e-05	2.5808e-22	-6.5761e-23
0.44949	0	0	1.3815e-05	-4.9631e-23	1.6544e-23
0.4596	0	0	1.3719e-05	1.9191e-22	4.8804e-23
0.4697	0	0	1.3611e-05	1.2573e-22	7.6101e-23
0.4798	0	0	1.3493e-05	-2.8124e-22	2.1507e-23
0.4899	0	0	1.3365e-05	1.4558e-22	-4.4668e-23
0.5	0	0	1.3227e-05	2.9779e-23	-2.4815e-23
