#x/m	y/m	z/m	B_x/T	B_y/T	B_z/T
-0.3	0	0	1.3668e-06	1.9852e-22	-1.9852e-22
-0.29394	0	0	1.4887e-06	2.2499e-22	-2.2499e-22
-0.28788	0	0	1.6258e-06	1.7205e-22	-1.7205e-22
-0.28182	0	0	1.7807e-06	-5.294e-23	5.294e-23
-0.27576	0	0	1.9564e-06	6.2204e-22	-1.9852e-22
-0.2697	0	0	2.1565e-06	-3.8381e-22	3.8381e-22
-0.26364	0	0	2.3854e-06	-2.7793e-22	2.7793e-22
-0.25758	0	0	2.6486e-06	-3.9705e-22	3.9705e-22
-0.25152	0	0	2.9528e-06	9.2644e-23	-9.2644e-23
-0.24545	0	0	3.3062e-06	9.2644e-23	-9.2644e-23
-0.23939	0	0	3.7192e-06	2.1176e-22	-2.1176e-22
-0.23333	0	0	4.2051e-06	-2.3823e-22	2.3823e-22
-0.22727	0	0	4.7804e-06	6.6174e-22	-6.6174e-22
-0.22121	0	0	5.4667e-06	-1.7338e-21	1.7338e-21
-0.21515	0	0	6.292e-06	3.9705e-23	-3.9705e-23
-0.20909	0	0	7.2928e-06	-7.9409e-22	7.9409e-22
-0.20303	0	0	8.5179e-06	7.1468e-22	-7.1468e-22
-0.19697	0	0	1.0033e-05	2.0117e-21	-2.0117e-21
-0.19091	0	0	1.1926e-05	-1.1911e-21	1.1911e-21
-0.18485	0	0	1.4321e-05	2.647e-22	-2.647e-22
-0.17879	0	0	1.7389e-05	1.5882e-22	-3.7058e-22
-0.17273	0	0	2.1376e-05	9.7938e-22	1.5617e-21
-0.16667	0	0	2.6633e-05	-2.647e-21	3.494e-21
-0.16061	0	0	3.3677e-05	3.7058e-22	1.3235e-21
-0.15455	0	0	4.3272e-05	-1.297e-21	2.9911e-21
-0.14848	0	0	5.656e-05	2.1176e-22	-5.5587e-22
-0.14242	0	0	7.5242e-05	-4.7646e-21	-3.1764e-22
-0.13636	0	0	0.00010181	-6.3527e-22	2.3293e-21
-0.1303	0	0	0.00013967	1.0217e-20	-1.0217e-20
-0.12424	0	0	0.00019279	-2.9117e-22	-7.3321e-21
-0.11818	0	0	0.00026353	3.4411e-22	-3.4411e-22
-0.11212	0	0	0.00034677	-7.3057e-21	-6.2469e-21
-0.10606	0	0	0.00042134	1.4558e-21	-1.4558e-21
-0.1	0	0	0.00045263	5.294e-23	-5.294e-23
-0.093939	0	0	0.00042156	1.5352e-21	-2.8058e-21
-0.087879	0	0	0.00034721	-2.6999e-21	2.6999e-21
-0.081818	0	0	0.0002642	6.6174e-21	-1.9588e-21
-0.075758	0	0	0.0001937	5.8234e-22	-1.0059e-21
-0.069697	0	0	0.00014083	-3.547e-21	1.5882e-22
-0.063636	0	0	0.00010324	2.9117e-21	-2.9117e-21
-0.057576	0	0	7.6987e-05	-3.8116e-21	3.8116e-21
-0.051515	0	0	5.8646e-05	1.0588e-22	-1.0588e-22
-0.045455	0	0	4.5744e-05	1.1647e-21	-2.8587e-21
-0.039394	0	0	3.6589e-05	1.1117e-21	-1.1117e-21
-0.033333	0	0	3.0053e-05	-1.0588e-22	9.5291e-22
-0.027273	0	0	2.5389e-05	-7.4115e-22	-9.5291e-22
-0.021212	0	0	2.2104e-05	-2.1176e-22	-1.4823e-21
-0.015152	0	0	1.9871e-05	1.0588e-22	3.2823e-21
-0.0090909	0	0	1.8484e-05	1.0588e-22	-1.0588e-22
-0.0030303	0	0	1.7819e-05	2.4352e-21	-2.4352e-21
0.0030303	0	0	1.7819e-05	1.7999e-21	-1.7999e-21
0.0090909	0	0	1.8484e-05	-1.2705e-21	1.2705e-21
0.015152	0	0	1.9871e-05	-2.1176e-22	-2.9646e-21
0.021212	0	0	2.2104e-05	0	-2.1176e-22
0.027273	0	0	2.5389e-05	1.2705e-21	-2.1176e-21
0.033333	0	0	3.0053e-05	2.1176e-22	-1.0588e-21
0.039394	0	0	3.6589e-05	4.2352e-22	1.2705e-21
0.045455	0	0	4.5744e-05	-1.2705e-21	2.9646e-21
0.051515	0	0	5.8646e-05	0	0
0.057576	0	0	7.6987e-05	-4.2352e-22	3.8116e-21
0.063636	0	0	0.00010324	-8.4703e-22	2.5411e-21
0.069697	0	0	0.00014083	-7.6233e-21	7.6233e-21
0.075758	0	0	0.0001937	-4.2352e-22	4.2352e-22
0.081818	0	0	0.0002642	8.4703e-22	-8.4703e-22
0.087879	0	0	0.00034721	-7.6233e-21	-5.9292e-21
0.093939	0	0	0.00042156	-1.4823e-21	2.5411e-21
0.1	0	0	0.00045263	5.294e-23	-5.294e-23
0.10606	0	0	0.00042134	1.4823e-21	-2.5411e-21
0.11212	0	0	0.00034677	7.6233e-21	5.9292e-21
0.11818	0	0	0.00026353	-8.4703e-22	8.4703e-22
0.12424	0	0	0.00019279	4.2352e-22	-4.2352e-22
0.1303	0	0	0.00013967	7.6233e-21	-7.6233e-21
0.13636	0	0	0.00010181	8.4703e-22	-2.5411e-21
0.14242	0	0	7.5242e-05	-3.3881e-21	3.3881e-21
0.14848	0	0	5.656e-05	0	0
0.15455	0	0	4.3272e-05	1.2705e-21	-2.9646e-21
0.16061	0	0	3.3677e-05	8.4703e-22	-1.0588e-21
0.16667	0	0	2.6633e-05	-2.1176e-22	1.0588e-21
0.17273	0	0	2.1376e-05	-1.2705e-21	-1.2705e-21
0.17879	0	0	1.7389e-05	0	2.1176e-22
0.18485	0	0	1.4321e-05	2.1176e-22	2.9646e-21
0.19091	0	0	1.1926e-05	1.2705e-21	-1.2705e-21
0.19697	0	0	1.0033e-05	-1.7999e-21	1.7999e-21
0.20303	0	0	8.5179e-06	9.5291e-22	-9.5291e-22
0.20909	0	0	7.2928e-06	1.7999e-21	-1.7999e-21
0.21515	0	0	6.292e-06	-1.0588e-22	1.0588e-22
0.22121	0	0	5.4667e-06	1.0588e-22	-1.0588e-22
0.22727	0	0	4.7804e-06	-8.4703e-22	8.4703e-22
0.23333	0	0	4.2051e-06	1.0588e-22	-1.0588e-22
0.23939	0	0	3.7192e-06	-5.294e-22	5.294e-22
0.24545	0	0	3.3062e-06	1.5882e-22	-1.5882e-22
0.25152	0	0	2.9528e-06	-1.0588e-22	1.0588e-22
0.25758	0	0	2.6486e-06	3.1764e-22	-3.1764e-22
0.26364	0	0	2.3854e-06	3.1764e-22	-3.1764e-22
0.2697	0	0	2.1565e-06	0	0
0.27576	0	0	1.9564e-06	1.5882e-22	-5.294e-23
0.28182	0	0	1.7807e-06	-5.294e-23	5.294e-23
0.28788	0	0	1.6258e-06	-4.2352e-22	4.2352e-22
0.29394	0	0	1.4887e-06	-2.1176e-22	2.1176e-22
0.3	0	0	1.3668e-06	-5.294e-23	5.294e-23
