#x/m	y/m	z/m	B_x/T	B_y/T	B_z/T
-0.5	0	0	2.4641e-05	6.088e-22	-2.9117e-22
-0.4899	0	0	2.5433e-05	2.647e-22	-2.647e-22
-0.4798	0	0	2.6247e-05	-5.0293e-22	8.735e-22
-0.4697	0	0	2.7085e-05	1.3235e-22	-1.3235e-22
-0.4596	0	0	2.7946e-05	-5.8234e-22	1.5882e-22
-0.44949	0	0	2.883e-05	-3.9705e-22	-3.4411e-22
-0.43939	0	0	2.9738e-05	2.9117e-22	-1.8529e-22
-0.42929	0	0	3.0668e-05	-2.647e-23	-2.3823e-22
-0.41919	0	0	3.1621e-05	1.0588e-22	4.2352e-22
-0.40909	0	0	3.2596e-05	-5.294e-23	-3.7058e-22
-0.39899	0	0	3.3592e-05	-1.5882e-22	1.0588e-22
-0.38889	0	0	3.4608e-05	-5.294e-23	-2.647e-22
-0.37879	0	0	3.5643e-05	7.4115e-22	-1.2705e-21
-0.36869	0	0	3.6697e-05	-1.3235e-22	1.3235e-22
-0.35859	0	0	3.7767e-05	-6.3527e-22	4.2352e-22
-0.34848	0	0	3.8852e-05	3.1764e-22	1.0588e-22
-0.33838	0	0	3.9951e-05	1.8529e-22	2.3823e-22
-0.32828	0	0	4.1062e-05	-6.3527e-22	2.1176e-22
-0.31818	0	0	4.2183e-05	5.294e-22	-5.294e-22
-0.30808	0	0	4.3311e-05	-1.8529e-22	1.8529e-22
-0.29798	0	0	4.4443e-05	7.9409e-23	-7.9409e-23
-0.28788	0	0	4.5579e-05	1.3235e-22	2.9117e-22
-0.27778	0	0	4.6714e-05	2.1176e-22	-2.1176e-22
-0.26768	0	0	4.7847e-05	-2.647e-23	4.4999e-22
-0.25758	0	0	4.8973e-05	2.647e-22	-2.647e-22
-0.24747	0	0	5.009e-05	5.294e-23	-2.647e-22
-0.23737	0	0	5.1195e-05	4.2352e-22	-8.4703e-22
-0.22727	0	0	5.2284e-05	5.294e-22	-5.294e-22
-0.21717	0	0	5.3355e-05	2.9117e-22	-2.9117e-22
-0.20707	0	0	5.4404e-05	5.8234e-22	5.294e-23
-0.19697	0	0	5.5427e-05	6.3527e-22	-7.4115e-22
-0.18687	0	0	5.6422e-05	1.5882e-22	-1.5882e-22
-0.17677	0	0	5.7385e-05	-6.6174e-22	3.9705e-22
-0.16667	0	0	5.8314e-05	1.5882e-22	-3.1764e-22
-0.15657	0	0	5.9204e-05	5.5587e-22	-4.4999e-22
-0.14646	0	0	6.0054e-05	-5.294e-23	5.294e-23
-0.13636	0	0	6.086e-05	-1.3235e-22	1.3235e-22
-0.12626	0	0	6.162e-05	3.7058e-22	-1.5882e-22
-0.11616	0	0	6.2331e-05	-2.9117e-22	-1.3235e-22
-0.10606	0	0	6.2991e-05	-5.294e-23	5.294e-23
-0.09596	0	0	6.3598e-05	5.294e-23	-5.294e-23
-0.085859	0	0	6.415e-05	-2.647e-22	-1.5882e-22
