#x/m	y/m	z/m	B_x/T	B_y/T	B_z/T
-0.2	0	0	6.059e-09	-4.1359e-25	4.1359e-25
-0.19596	0	0	6.4333e-09	-1.034e-24	1.034e-24
-0.19192	0	0	6.839e-09	0	0
-0.18788	0	0	7.2792e-09	6.2039e-25	-6.2039e-25
-0.18384	0	0	7.7578e-09	1.034e-24	-1.034e-24
-0.1798	0	0	8.2791e-09	1.2408e-24	-1.2408e-24
-0.17576	0	0	8.8477e-09	-2.068e-25	2.4815e-24
-0.17172	0	0	9.4693e-09	1.2408e-24	-1.2408e-24
-0.16768	0	0	1.015e-08	2.8951e-24	-2.8951e-24
-0.16364	0	0	1.0897e-08	1.8612e-24	-1.8612e-24
-0.1596	0	0	1.1719e-08	1.034e-24	-1.034e-24
-0.15556	0	0	1.2624e-08	2.068e-24	-2.068e-24
-0.15152	0	0	1.3624e-08	-2.068e-24	2.068e-24
-0.14747	0	0	1.4732e-08	-4.1359e-25	4.1359e-25
-0.14343	0	0	1.5962e-08	8.2718e-25	-8.2718e-25
-0.13939	0	0	1.7331e-08	-4.1359e-25	4.1359e-25
-0.13535	0	0	1.8859e-08	-8.2718e-25	8.2718e-25
-0.13131	0	0	2.057e-08	-2.068e-24	2.068e-24
-0.12727	0	0	2.2492e-08	-8.2718e-25	8.2718e-25
-0.12323	0	0	2.4657e-08	2.4815e-24	-2.4815e-24
-0.11919	0	0	2.7105e-08	0	0
-0.11515	0	0	2.9883e-08	8.2718e-25	-8.2718e-25
-0.11111	0	0	3.3046e-08	2.068e-24	-2.068e-24
-0.10707	0	0	3.6663e-08	8.2718e-25	-8.2718e-25
-0.10303	0	0	4.0817e-08	4.9631e-24	-4.9631e-24
-0.09899	0	0	4.5608e-08	-4.9631e-24	4.9631e-24
-0.094949	0	0	5.1161e-08	-2.4815e-24	2.4815e-24
-0.090909	0	0	5.7628e-08	8.2718e-24	-8.2718e-24
-0.086869	0	0	6.5201e-08	-4.1359e-24	-2.4815e-24
-0.082828	0	0	7.4116e-08	1.1581e-23	-3.3087e-24
-0.078788	0	0	8.4675e-08	8.2718e-25	1.6544e-23
-0.074747	0	0	9.7258e-08	-1.9025e-23	8.2718e-25
-0.070707	0	0	1.1235e-07	8.2718e-24	-8.2718e-24
-0.066667	0	0	1.3057e-07	-3.3087e-24	0
-0.062626	0	0	1.5274e-07	-1.6544e-24	-4.9631e-24
-0.058586	0	0	1.7989e-07	-4.9631e-24	-1.6544e-24
-0.054545	0	0	2.1339e-07	-6.6174e-24	6.6174e-24
-0.050505	0	0	2.5503e-07	6.6174e-24	-6.6174e-24
-0.046465	0	0	3.0715e-07	2.8124e-23	-2.1507e-23
-0.042424	0	0	3.7277e-07	-1.8198e-23	1.8198e-23
-0.038384	0	0	4.5581e-07	-3.3087e-24	3.3087e-24
-0.034343	0	0	5.6109e-07	-3.3087e-24	3.3087e-24
-0.030303	0	0	6.9435e-07	-3.3087e-24	3.3087e-24
-0.026263	0	0	8.6162e-07	-1.6544e-23	1.6544e-23
-0.022222	0	0	1.0677e-06	-9.9262e-24	2.3161e-23
-0.018182	0	0	1.313e-06	-2.3161e-23	-1.6544e-23
-0.014141	0	0	1.5877e-06	-9.9262e-24	9.9262e-24
-0.010101	0	0	1.8657e-06	-2.3161e-23	3.3087e-24
-0.0060606	0	0	2.1012e-06	0	-8.2718e-24
-0.0020202	0	0	2.2388e-06	5.3767e-24	-4.5495e-24
0.0020202	0	0	2.2388e-06	-8.2718e-25	8.2718e-25
0.0060606	0	0	2.1012e-06	4.9631e-24	-4.9631e-24
0.010101	0	0	1.8657e-06	1.6544e-24	-1.6544e-24
0.014141	0	0	1.5877e-06	-3.3087e-23	3.6396e-23
0.018182	0	0	1.313e-06	-3.3087e-24	3.3087e-24
0.022222	0	0	1.0677e-06	1.9852e-23	-1.9852e-23
0.026263	0	0	8.6162e-07	1.6544e-23	-1.6544e-23
0.030303	0	0	6.9435e-07	3.3087e-24	-3.3087e-24
0.034343	0	0	5.6109e-07	3.3087e-24	-3.3087e-24
0.038384	0	0	4.5581e-07	6.6174e-24	1.9852e-23
0.042424	0	0	3.7277e-07	2.4815e-23	-3.1433e-23
0.046465	0	0	3.0715e-07	2.647e-23	-3.6396e-23
0.050505	0	0	2.5503e-07	4.9631e-24	-4.9631e-24
0.054545	0	0	2.1339e-07	3.3087e-24	-8.2718e-24
0.058586	0	0	1.7989e-07	1.6544e-24	-3.3087e-24
0.062626	0	0	1.5274e-07	1.6544e-24	4.9631e-24
0.066667	0	0	1.3057e-07	3.3087e-24	3.3087e-24
0.070707	0	0	1.1235e-07	-8.2718e-24	8.2718e-24
0.074747	0	0	9.7258e-08	-4.1359e-24	7.4446e-24
0.078788	0	0	8.4675e-08	-8.2718e-25	-1.6544e-23
0.082828	0	0	7.4116e-08	8.2718e-24	1.6544e-24
0.086869	0	0	6.5201e-08	4.1359e-24	2.4815e-24
0.090909	0	0	5.7628e-08	-4.9631e-24	4.9631e-24
0.094949	0	0	5.1161e-08	2.4815e-24	-2.4815e-24
0.09899	0	0	4.5608e-08	-1.6544e-24	1.6544e-24
0.10303	0	0	4.0817e-08	4.1359e-24	-4.1359e-24
0.10707	0	0	3.6663e-08	5.7903e-24	-5.7903e-24
0.11111	0	0	3.3046e-08	-2.068e-24	2.068e-24
0.11515	0	0	2.9883e-08	4.9631e-24	-4.9631e-24
