#x	y	z	B_x	B_y	B_z
-0.05	0	0	-2.25e-07	2.79e-07	1.16e-07
-0.049	0	0	-2.16e-07	2.76e-07	1.09e-07
-0.048	0	0	-2.08e-07	2.73e-07	1.03e-07
-0.047	0	0	-2.01e-07	2.7e-07	9.77e-08
-0.046	0	0	-1.93e-07	2.66e-07	9.23e-08
-0.045	0	0	-1.86e-07	2.63e-07	8.73e-08
-0.044	0	0	-1.8e-07	2.59e-07	8.25e-08
-0.043	0	0	-1.74e-07	2.55e-07	7.8e-08
-0.042	0	0	-1.68e-07	2.51e-07	7.37e-08
-0.041	0	0	-1.62e-07	2.47e-07	6.97e-08
-0.04	0	0	-1.56e-07	2.43e-07	6.59e-08
-0.039	0	0	-1.51e-07	2.39e-07	6.22e-08
-0.038	0	0	-1.46e-07	2.34e-07	5.88e-08
-0.037	0	0	-1.41e-07	2.3e-07	5.56e-08
-0.036	0	0	-1.37e-07	2.26e-07	5.25e-08
-0.035	0	0	-1.33e-07	2.22e-07	4.96e-08
-0.034	0	0	-1.29e-07	2.17e-07	4.69e-08
-0.033	0	0	-1.25e-07	2.13e-07	4.43e-08
-0.032	0	0	-1.21e-07	2.09e-07	4.18e-08
-0.031	0	0	-1.17e-07	2.04e-07	3.95e-08
-0.03	0	0	-1.14e-07	2e-07	3.72e-08
-0.029	0	0	-1.11e-07	1.96e-07	3.51e-08
-0.028	0	0	-1.08e-07	1.91e-07	3.31e-08
-0.027	0	0	-1.05e-07	1.87e-07	3.12e-08
-0.026	0	0	-1.02e-07	1.83e-07	2.94e-08
-0.025	0	0	-9.91e-08	1.78e-07	2.76e-08
-0.024	0	0	-9.66e-08	1.74e-07	2.6e-08
-0.023	0	0	-9.41e-08	1.7e-07	2.44e-08
-0.022	0	0	-9.18e-08	1.66e-07	2.29e-08
-0.021	0	0	-8.96e-08	1.62e-07	2.14e-08
-0.02	0	0	-8.75e-08	1.58e-07	2.01e-08
-0.019	0	0	-8.55e-08	1.54e-07	1.87e-08
-0.018	0	0	-8.36e-08	1.5e-07	1.75e-08
-0.017	0	0	-8.18e-08	1.46e-07	1.62e-08
-0.016	0	0	-8.01e-08	1.42e-07	1.51e-08
-0.015	0	0	-7.84e-08	1.38e-07	1.39e-08
-0.014	0	0	-7.69e-08	1.34e-07	1.28e-08
-0.013	0	0	-7.54e-08	1.3e-07	1.18e-08
-0.012	0	0	-7.41e-08	1.26e-07	1.07e-08
-0.011	0	0	-7.27e-08	1.23e-07	9.74e-09
-0.01	0	0	-7.15e-08	1.19e-07	8.77e-09
-0.009	0	0	-7.04e-08	1.15e-07	7.83e-09
-0.008	0	0	-6.93e-08	1.12e-07	6.9e-09
-0.007	0	0	-6.82e-08	1.08e-07	6e-09
-0.006	0	0	-6.73e-08	1.05e-07	5.11e-09
-0.005	0	0	-6.64e-08	1.01e-07	4.24e-09
-0.004	0	0	-6.56e-08	9.75e-08	3.38e-09
-0.003	0	0	-6.48e-08	9.4e-08	2.52e-09
-0.002	0	0	-6.41e-08	9.06e-08	1.68e-09
