#x/m	y/m	z/m	B_x/T	B_y/T	B_z/T
-0.2	0	0	4.6171e-05	5.294e-22	-5.294e-22
-0.19596	0	0	5.1595e-05	-3.3881e-21	3.3881e-21
-0.19192	0	0	5.7897e-05	-1.0588e-21	1.0588e-21
-0.18788	0	0	6.5256e-05	1.9058e-21	-1.9058e-21
-0.18384	0	0	7.3899e-05	-3.1764e-21	3.1764e-21
-0.1798	0	0	8.4109e-05	5.9292e-21	1.6941e-21
-0.17576	0	0	9.6244e-05	1.4823e-21	-1.1647e-20
-0.17172	0	0	0.00011076	-5.5057e-21	-2.9646e-21
-0.16768	0	0	0.00012825	-1.2917e-20	-7.4115e-21
-0.16364	0	0	0.00014946	4.7646e-21	-2.5093e-20
-0.1596	0	0	0.00017537	7.1998e-21	-2.0752e-20
-0.15556	0	0	0.00020727	-1.2494e-20	1.2494e-20
-0.15152	0	0	0.00024682	2.3505e-20	-1.6729e-20
-0.14747	0	0	0.00029621	-1.5458e-20	1.5458e-20
-0.14343	0	0	0.0003583	-1.1753e-20	3.547e-20
-0.13939	0	0	0.00043673	8.4703e-22	-7.6233e-21
-0.13535	0	0	0.00053613	-2.7423e-20	3.1764e-22
-0.13131	0	0	0.00066202	2.3611e-20	-2.3611e-20
-0.12727	0	0	0.00082046	-1.387e-20	4.0975e-20
-0.12323	0	0	0.0010168	-5.294e-21	-8.2586e-21
-0.11919	0	0	0.0012529	8.8938e-21	-8.8938e-21
-0.11515	0	0	0.0015223	6.141e-21	4.0234e-21
-0.11111	0	0	0.0018033	-2.1388e-20	-1.927e-20
-0.10707	0	0	0.0020548	8.8938e-21	-8.8938e-21
-0.10303	0	0	0.0022221	-2.287e-20	1.6094e-20
-0.09899	0	0	0.0022586	6.3527e-22	1.0588e-21
-0.094949	0	0	0.0021533	-4.6587e-21	-8.8938e-21
-0.090909	0	0	0.0019376	1.4823e-21	-1.4823e-21
-0.086869	0	0	0.0016658	2.3082e-20	-2.3082e-20
-0.082828	0	0	0.0013875	1.4611e-20	-1.4611e-20
-0.078788	0	0	0.0011339	-1.0164e-20	1.0164e-20
-0.074747	0	0	0.00091838	-1.4188e-20	1.3764e-20
-0.070707	0	0	0.00074238	2.2658e-20	-2.2658e-20
-0.066667	0	0	0.00060187	-4.4469e-21	-2.3293e-21
-0.062626	0	0	0.00049093	-2.3717e-20	0
-0.058586	0	0	0.00040366	1.0376e-20	3.1764e-21
-0.054545	0	0	0.00033501	7.6233e-21	-1.44e-20
-0.050505	0	0	0.00028086	-1.9058e-20	-1.2705e-21
-0.046465	0	0	0.00023798	-3.8116e-21	3.8116e-21
-0.042424	0	0	0.0002039	9.3174e-21	8.4703e-22
-0.038384	0	0	0.00017671	-1.0588e-20	1.0588e-20
-0.034343	0	0	0.00015498	8.8938e-21	4.6587e-21
-0.030303	0	0	0.00013761	2.5411e-21	7.6233e-21
-0.026263	0	0	0.00012378	-4.6587e-21	4.6587e-21
-0.022222	0	0	0.00011286	1.9482e-20	-1.9482e-20
-0.018182	0	0	0.00010436	-7.6233e-21	7.6233e-21
-0.014141	0	0	9.7928e-05	-1.1435e-20	1.1435e-20
-0.010101	0	0	9.3314e-05	4.6587e-21	-4.6587e-21
-0.0060606	0	0	9.0333e-05	6.7763e-21	-6.7763e-21
-0.0020202	0	0	8.887e-05	-3.3881e-21	3.3881e-21
0.0020202	0	0	8.887e-05	6.7763e-21	-6.7763e-21
0.0060606	0	0	9.0333e-05	-4.2352e-21	4.2352e-21
0.010101	0	0	9.3314e-05	0	0
0.014141	0	0	9.7928e-05	-2.5411e-21	-4.2352e-21
0.018182	0	0	0.00010436	1.1011e-20	-8.4703e-22
0.022222	0	0	0.00011286	1.8635e-20	-1.8635e-20
0.026263	0	0	0.00012378	7.6233e-21	-4.2352e-21
0.030303	0	0	0.00013761	-3.3881e-21	-6.7763e-21
0.034343	0	0	0.00015498	-1.0164e-20	-1.6941e-21
0.038384	0	0	0.00017671	1.6941e-21	1.8635e-20
0.042424	0	0	0.0002039	-1.6941e-21	8.4703e-21
0.046465	0	0	0.00023798	-2.3717e-20	1.6941e-20
0.050505	0	0	0.00028086	0	0
0.054545	0	0	0.00033501	-3.3881e-21	1.3553e-20
0.058586	0	0	0.00040366	-3.7269e-20	1.6941e-20
0.062626	0	0	0.00049093	2.7105e-20	-3.3881e-21
0.066667	0	0	0.00060187	1.3553e-20	-1.0164e-20
0.070707	0	0	0.00074238	-2.3717e-20	2.3717e-20
0.074747	0	0	0.00091838	2.7105e-20	0
0.078788	0	0	0.0011339	1.0164e-20	-1.0164e-20
0.082828	0	0	0.0013875	3.3881e-21	-3.3881e-21
0.086869	0	0	0.0016658	-2.3717e-20	2.3717e-20
0.090909	0	0	0.0019376	-3.3881e-21	3.3881e-21
0.094949	0	0	0.0021533	1.9482e-20	-1.9482e-20
0.09899	0	0	0.0022586	-2.7529e-21	2.7529e-21
0.10303	0	0	0.0022221	1.2705e-20	-5.0822e-21
0.10707	0	0	0.0020548	1.3553e-20	8.4703e-21
0.11111	0	0	0.0018033	1.5247e-20	-1.5247e-20
0.11515	0	0	0.0015223	4.7434e-20	-4.7434e-20
0.11919	0	0	0.0012529	3.7269e-20	-3.7269e-20
0.12323	0	0	0.0010168	-3.0493e-20	3.3881e-21
0.12727	0	0	0.00082046	2.7105e-20	-4.4046e-20
0.13131	0	0	0.00066202	-2.3717e-20	2.3717e-20
0.13535	0	0	0.00053613	-2.0329e-20	2.0329e-20
0.13939	0	0	0.00043673	-1.6941e-21	8.4703e-21
0.14343	0	0	0.0003583	3.3881e-21	-6.7763e-21
0.14747	0	0	0.00029621	1.5247e-20	-1.5247e-20
0.15152	0	0	0.00024682	1.1858e-20	-5.0822e-21
0.15556	0	0	0.00020727	1.1858e-20	-1.1858e-20
0.1596	0	0	0.00017537	-2.5411e-20	2.5411e-20
0.16364	0	0	0.00014946	-5.0822e-21	2.5411e-20
0.16768	0	0	0.00012825	-1.1858e-20	0
0.17172	0	0	0.00011076	5.0822e-21	3.3881e-21
0.17576	0	0	9.6244e-05	1.2705e-20	-2.1176e-20
0.1798	0	0	8.4109e-05	-5.9292e-21	-2.5411e-21
0.18384	0	0	7.3899e-05	8.4703e-21	1.6941e-21
0.18788	0	0	6.5256e-05	1.0164e-20	-6.7763e-21
0.19192	0	0	5.7897e-05	8.4703e-22	-8.4703e-22
0.19596	0	0	5.1595e-05	3.3881e-21	-3.3881e-21
0.2	0	0	4.6171e-05	-1.6941e-21	1.6941e-21
