#x	y	z	B_x	B_y	B_z
-0.2	0	0	2.33e-07	-3.89e-08	-1.45e-07
-0.196	0	0	2.56e-07	-4.19e-08	-1.56e-07
-0.192	0	0	2.82e-07	-4.52e-08	-1.69e-07
-0.188	0	0	3.12e-07	-4.89e-08	-1.82e-07
-0.184	0	0	3.45e-07	-5.3e-08	-1.98e-07
-0.18	0	0	3.83e-07	-5.75e-08	-2.15e-07
-0.176	0	0	4.27e-07	-6.26e-08	-2.34e-07
-0.172	0	0	4.76e-07	-6.82e-08	-2.55e-07
-0.168	0	0	5.32e-07	-7.45e-08	-2.78e-07
-0.164	0	0	5.96e-07	-8.14e-08	-3.04e-07
-0.16	0	0	6.69e-07	-8.92e-08	-3.33e-07
-0.156	0	0	7.52e-07	-9.77e-08	-3.65e-07
-0.152	0	0	8.46e-07	-1.07e-07	-4e-07
-0.148	0	0	9.52e-07	-1.17e-07	-4.38e-07
-0.144	0	0	1.07e-06	-1.29e-07	-4.8e-07
-0.14	0	0	1.2e-06	-1.4e-07	-5.24e-07
-0.136	0	0	1.35e-06	-1.53e-07	-5.71e-07
-0.132	0	0	1.51e-06	-1.66e-07	-6.19e-07
-0.128	0	0	1.67e-06	-1.79e-07	-6.67e-07
-0.124	0	0	1.85e-06	-1.91e-07	-7.12e-07
-0.12	0	0	2.02e-06	-2.02e-07	-7.52e-07
-0.116	0	0	2.18e-06	-2.1e-07	-7.85e-07
-0.112	0	0	2.31e-06	-2.16e-07	-8.06e-07
-0.108	0	0	2.42e-06	-2.18e-07	-8.14e-07
-0.104	0	0	2.49e-06	-2.16e-07	-8.07e-07
-0.1	0	0	2.52e-06	-2.1e-07	-7.84e-07
-0.096	0	0	2.5e-06	-2e-07	-7.46e-07
-0.092	0	0	2.43e-06	-1.86e-07	-6.96e-07
-0.088	0	0	2.33e-06	-1.71e-07	-6.37e-07
-0.084	0	0	2.19e-06	-1.53e-07	-5.72e-07
-0.08	0	0	2.04e-06	-1.36e-07	-5.07e-07
-0.076	0	0	1.87e-06	-1.19e-07	-4.42e-07
-0.072	0	0	1.7e-06	-1.02e-07	-3.82e-07
-0.068	0	0	1.54e-06	-8.74e-08	-3.26e-07
-0.064	0	0	1.39e-06	-7.41e-08	-2.77e-07
-0.06	0	0	1.25e-06	-6.24e-08	-2.33e-07
-0.056	0	0	1.12e-06	-5.24e-08	-1.95e-07
-0.052	0	0	1.01e-06	-4.37e-08	-1.63e-07
-0.048	0	0	9.09e-07	-3.64e-08	-1.36e-07
-0.044	0	0	8.22e-07	-3.01e-08	-1.12e-07
-0.04	0	0	7.46e-07	-2.49e-08	-9.29e-08
-0.036	0	0	6.82e-07	-2.05e-08	-7.63e-08
-0.032	0	0	6.27e-07	-1.67e-08	-6.24e-08
-0.028	0	0	5.81e-07	-1.36e-08	-5.06e-08
-0.024	0	0	5.42e-07	-1.08e-08	-4.05e-08
-0.02	0	0	5.11e-07	-8.52e-09	-3.18e-08
-0.016	0	0	4.87e-07	-6.49e-09	-2.42e-08
-0.012	0	0	4.68e-07	-4.68e-09	-1.75e-08
-0.008	0	0	4.55e-07	-3.03e-09	-1.13e-08
-0.004	0	0	4.47e-07	-1.49e-09	-5.56e-09
0	0	0	4.44e-07	3.1e-25	6.72e-25
0.004	0	0	4.47e-07	1.49e-09	5.56e-09
0.008	0	0	4.55e-07	3.03e-09	1.13e-08
0.012	0	0	4.68e-07	4.68e-09	1.75e-08
0.016	0	0	4.87e-07	6.49e-09	2.42e-08
0.02	0	0	5.11e-07	8.52e-09	3.18e-08
0.024	0	0	5.42e-07	1.08e-08	4.05e-08
0.028	0	0	5.81e-07	1.36e-08	5.06e-08
0.032	0	0	6.27e-07	1.67e-08	6.24e-08
0.036	0	0	6.82e-07	2.05e-08	7.63e-08
0.04	0	0	7.46e-07	2.49e-08	9.29e-08
0.044	0	0	8.22e-07	3.01e-08	1.12e-07
0.048	0	0	9.09e-07	3.64e-08	1.36e-07
0.052	0	0	1.01e-06	4.37e-08	1.63e-07
0.056	0	0	1.12e-06	5.24e-08	1.95e-07
0.06	0	0	1.25e-06	6.24e-08	2.33e-07
0.064	0	0	1.39e-06	7.41e-08	2.77e-07
0.068	0	0	1.54e-06	8.74e-08	3.26e-07
0.072	0	0	1.7e-06	1.02e-07	3.82e-07
0.076	0	0	1.87e-06	1.19e-07	4.42e-07
0.08	0	0	2.04e-06	1.36e-07	5.07e-07
0.084	0	0	2.19e-06	1.53e-07	5.72e-07
0.088	0	0	2.33e-06	1.71e-07	6.37e-07
0.092	0	0	2.43e-06	1.86e-07	6.96e-07
0.096	0	0	2.5e-06	2e-07	7.46e-07
0.1	0	0	2.52e-06	2.1e-07	7.84e-07
0.104	0	0	2.49e-06	2.16e-07	8.07e-07
0.108	0	0	2.42e-06	2.18e-07	8.14e-07
0.112	0	0	2.31e-06	2.16e-07	8.06e-07
0.116	0	0	2.18e-06	2.1e-07	7.85e-07
0.12	0	0	2.02e-06	2.02e-07	7.52e-07
0.124	0	0	1.85e-06	1.91e-07	7.12e-07
0.128	0	0	1.67e-06	1.79e-07	6.67e-07
0.132	0	0	1.51e-06	1.66e-07	6.19e-07
0.136	0	0	1.35e-06	1.53e-07	5.71e-07
0.14	0	0	1.2e-06	1.4e-07	5.24e-07
0.144	0	0	1.07e-06	1.29e-07	4.8e-07
0.148	0	0	9.52e-07	1.17e-07	4.38e-07
0.152	0	0	8.46e-07	1.07e-07	4e-07
0.156	0	0	7.52e-07	9.77e-08	3.65e-07
0.16	0	0	6.69e-07	8.92e-08	3.33e-07
0.164	0	0	5.96e-07	8.14e-08	3.04e-07
0.168	0	0	5.32e-07	7.45e-08	2.78e-07
0.172	0	0	4.76e-07	6.82e-08	2.55e-07
0.176	0	0	4.27e-07	6.26e-08	2.34e-07
0.18	0	0	3.83e-07	5.75e-08	2.15e-07
0.184	0	0	3.45e-07	5.3e-08	1.98e-07
0.188	0	0	3.12e-07	4.89e-08	1.82e-07
0.192	0	0	2.82e-07	4.52e-08	1.69e-07
0.196	0	0	2.56e-07	4.19e-08	1.56e-07
0.2	0	0	2.33e-07	3.89e-08	1.45e-07
