# x	y	z	Bx	By	Bz
-0.01	0	0	2.21e-06	-4.52e-08	-6.82e-08
-0.0098	0	0	2.2e-06	-4.43e-08	-6.67e-08
-0.0096	0	0	2.2e-06	-4.34e-08	-6.53e-08
-0.0094	0	0	2.2e-06	-4.24e-08	-6.38e-08
-0.0092	0	0	2.2e-06	-4.15e-08	-6.24e-08
-0.009	0	0	2.19e-06	-4.06e-08	-6.1e-08
-0.0088	0	0	2.19e-06	-3.96e-08	-5.95e-08
-0.0086	0	0	2.19e-06	-3.87e-08	-5.81e-08
-0.0084	0	0	2.18e-06	-3.78e-08	-5.67e-08
-0.0082	0	0	2.18e-06	-3.69e-08	-5.53e-08
-0.008	0	0	2.18e-06	-3.6e-08	-5.38e-08
-0.0078	0	0	2.18e-06	-3.5e-08	-5.24e-08
-0.0076	0	0	2.17e-06	-3.41e-08	-5.1e-08
-0.0074	0	0	2.17e-06	-3.32e-08	-4.96e-08
-0.0072	0	0	2.17e-06	-3.23e-08	-4.82e-08
-0.007	0	0	2.17e-06	-3.14e-08	-4.68e-08
-0.0068	0	0	2.17e-06	-3.05e-08	-4.55e-08
-0.0066	0	0	2.16e-06	-2.96e-08	-4.41e-08
-0.0064	0	0	2.16e-06	-2.86e-08	-4.27e-08
-0.0062	0	0	2.16e-06	-2.77e-08	-4.13e-08
-0.006	0	0	2.16e-06	-2.68e-08	-4e-08
-0.0058	0	0	2.16e-06	-2.59e-08	-3.86e-08
-0.0056	0	0	2.15e-06	-2.5e-08	-3.72e-08
-0.0054	0	0	2.15e-06	-2.41e-08	-3.59e-08
-0.0052	0	0	2.15e-06	-2.32e-08	-3.45e-08
-0.005	0	0	2.15e-06	-2.23e-08	-3.32e-08
-0.0048	0	0	2.15e-06	-2.14e-08	-3.18e-08
-0.0046	0	0	2.15e-06	-2.05e-08	-3.05e-08
-0.0044	0	0	2.14e-06	-1.96e-08	-2.91e-08
-0.0042	0	0	2.14e-06	-1.87e-08	-2.78e-08
-0.004	0	0	2.14e-06	-1.78e-08	-2.64e-08
-0.0038	0	0	2.14e-06	-1.69e-08	-2.51e-08
-0.0036	0	0	2.14e-06	-1.6e-08	-2.38e-08
-0.0034	0	0	2.14e-06	-1.51e-08	-2.24e-08
-0.0032	0	0	2.14e-06	-1.42e-08	-2.11e-08
-0.003	0	0	2.14e-06	-1.34e-08	-1.98e-08
-0.0028	0	0	2.14e-06	-1.25e-08	-1.85e-08
-0.0026	0	0	2.13e-06	-1.16e-08	-1.71e-08
-0.0024	0	0	2.13e-06	-1.07e-08	-1.58e-08
-0.0022	0	0	2.13e-06	-9.79e-09	-1.45e-08
-0.002	0	0	2.13e-06	-8.9e-09	-1.32e-08
-0.0018	0	0	2.13e-06	-8e-09	-1.18e-08
-0.0016	0	0	2.13e-06	-7.11e-09	-1.05e-08
-0.0014	0	0	2.13e-06	-6.22e-09	-9.21e-09
-0.0012	0	0	2.13e-06	-5.33e-09	-7.89e-09
-0.001	0	0	2.13e-06	-4.45e-09	-6.57e-09
-0.0008	0	0	2.13e-06	-3.56e-09	-5.26e-09
-0.0006	0	0	2.13e-06	-2.67e-09	-3.94e-09
-0.0004	0	0	2.13e-06	-1.78e-09	-2.63e-09
-0.0002	0	0	2.13e-06	-8.89e-10	-1.31e-09
0	0	0	2.13e-06	-3.97e-23	-8.6e-23
0.0002	0	0	2.13e-06	8.89e-10	1.31e-09
0.0004	0	0	2.13e-06	1.78e-09	2.63e-09
0.0006	0	0	2.13e-06	2.67e-09	3.94e-09
0.0008	0	0	2.13e-06	3.56e-09	5.26e-09
0.001	0	0	2.13e-06	4.45e-09	6.57e-09
0.0012	0	0	2.13e-06	5.33e-09	7.89e-09
0.0014	0	0	2.13e-06	6.22e-09	9.21e-09
0.0016	0	0	2.13e-06	7.11e-09	1.05e-08
0.0018	0	0	2.13e-06	8e-09	1.18e-08
0.002	0	0	2.13e-06	8.9e-09	1.32e-08
0.0022	0	0	2.13e-06	9.79e-09	1.45e-08
0.0024	0	0	2.13e-06	1.07e-08	1.58e-08
0.0026	0	0	2.13e-06	1.16e-08	1.71e-08
0.0028	0	0	2.14e-06	1.25e-08	1.85e-08
0.003	0	0	2.14e-06	1.34e-08	1.98e-08
0.0032	0	0	2.14e-06	1.42e-08	2.11e-08
0.0034	0	0	2.14e-06	1.51e-08	2.24e-08
0.0036	0	0	2.14e-06	1.6e-08	2.38e-08
0.0038	0	0	2.14e-06	1.69e-08	2.51e-08
0.004	0	0	2.14e-06	1.78e-08	2.64e-08
0.0042	0	0	2.14e-06	1.87e-08	2.78e-08
0.0044	0	0	2.14e-06	1.96e-08	2.91e-08
0.0046	0	0	2.15e-06	2.05e-08	3.05e-08
0.0048	0	0	2.15e-06	2.14e-08	3.18e-08
0.005	0	0	2.15e-06	2.23e-08	3.32e-08
0.0052	0	0	2.15e-06	2.32e-08	3.45e-08
0.0054	0	0	2.15e-06	2.41e-08	3.59e-08
0.0056	0	0	2.15e-06	2.5e-08	3.72e-08
0.0058	0	0	2.16e-06	2.59e-08	3.86e-08
0.006	0	0	2.16e-06	2.68e-08	4e-08
0.0062	0	0	2.16e-06	2.77e-08	4.13e-08
0.0064	0	0	2.16e-06	2.86e-08	4.27e-08
0.0066	0	0	2.16e-06	2.96e-08	4.41e-08
0.0068	0	0	2.17e-06	3.05e-08	4.55e-08
0.007	0	0	2.17e-06	3.14e-08	4.68e-08
0.0072	0	0	2.17e-06	3.23e-08	4.82e-08
0.0074	0	0	2.17e-06	3.32e-08	4.96e-08
0.0076	0	0	2.17e-06	3.41e-08	5.1e-08
0.0078	0	0	2.18e-06	3.5e-08	5.24e-08
0.008	0	0	2.18e-06	3.6e-08	5.38e-08
0.0082	0	0	2.18e-06	3.69e-08	5.53e-08
0.0084	0	0	2.18e-06	3.78e-08	5.67e-08
0.0086	0	0	2.19e-06	3.87e-08	5.81e-08
0.0088	0	0	2.19e-06	3.96e-08	5.95e-08
0.009	0	0	2.19e-06	4.06e-08	6.1e-08
0.0092	0	0	2.2e-06	4.15e-08	6.24e-08
0.0094	0	0	2.2e-06	4.24e-08	6.38e-08
0.0096	0	0	2.2e-06	4.34e-08	6.53e-08
0.0098	0	0	2.2e-06	4.43e-08	6.67e-08
0.01	0	0	2.21e-06	4.52e-08	6.82e-08
