#x	y	z	B_x	B_y	B_z
-0.2	0	0	1.12e-07	-8.8e-09	-7.4e-08
-0.196	0	0	1.23e-07	-9.73e-09	-7.96e-08
-0.192	0	0	1.35e-07	-1.08e-08	-8.59e-08
-0.188	0	0	1.49e-07	-1.2e-08	-9.29e-08
-0.184	0	0	1.66e-07	-1.33e-08	-1.01e-07
-0.18	0	0	1.84e-07	-1.49e-08	-1.09e-07
-0.176	0	0	2.04e-07	-1.66e-08	-1.19e-07
-0.172	0	0	2.28e-07	-1.86e-08	-1.29e-07
-0.168	0	0	2.55e-07	-2.09e-08	-1.41e-07
-0.164	0	0	2.85e-07	-2.35e-08	-1.54e-07
-0.16	0	0	3.2e-07	-2.65e-08	-1.69e-07
-0.156	0	0	3.6e-07	-2.99e-08	-1.85e-07
-0.152	0	0	4.05e-07	-3.37e-08	-2.02e-07
-0.148	0	0	4.56e-07	-3.81e-08	-2.22e-07
-0.144	0	0	5.13e-07	-4.3e-08	-2.43e-07
-0.14	0	0	5.77e-07	-4.84e-08	-2.65e-07
-0.136	0	0	6.47e-07	-5.44e-08	-2.88e-07
-0.132	0	0	7.23e-07	-6.09e-08	-3.12e-07
-0.128	0	0	8.02e-07	-6.77e-08	-3.36e-07
-0.124	0	0	8.85e-07	-7.48e-08	-3.59e-07
-0.12	0	0	9.66e-07	-8.17e-08	-3.79e-07
-0.116	0	0	1.04e-06	-8.83e-08	-3.95e-07
-0.112	0	0	1.11e-06	-9.39e-08	-4.05e-07
-0.108	0	0	1.16e-06	-9.84e-08	-4.08e-07
-0.104	0	0	1.2e-06	-1.01e-07	-4.04e-07
-0.1	0	0	1.21e-06	-1.02e-07	-3.92e-07
-0.096	0	0	1.2e-06	-1.01e-07	-3.73e-07
-0.092	0	0	1.17e-06	-9.8e-08	-3.47e-07
-0.088	0	0	1.11e-06	-9.34e-08	-3.17e-07
-0.084	0	0	1.05e-06	-8.76e-08	-2.85e-07
-0.08	0	0	9.76e-07	-8.09e-08	-2.52e-07
-0.076	0	0	8.97e-07	-7.37e-08	-2.19e-07
-0.072	0	0	8.17e-07	-6.65e-08	-1.89e-07
-0.068	0	0	7.39e-07	-5.95e-08	-1.61e-07
-0.064	0	0	6.66e-07	-5.28e-08	-1.36e-07
-0.06	0	0	5.98e-07	-4.65e-08	-1.15e-07
-0.056	0	0	5.38e-07	-4.09e-08	-9.58e-08
-0.052	0	0	4.83e-07	-3.57e-08	-7.97e-08
-0.048	0	0	4.35e-07	-3.11e-08	-6.61e-08
-0.044	0	0	3.94e-07	-2.69e-08	-5.47e-08
-0.04	0	0	3.58e-07	-2.32e-08	-4.5e-08
-0.036	0	0	3.27e-07	-1.99e-08	-3.69e-08
-0.032	0	0	3e-07	-1.69e-08	-3.01e-08
-0.028	0	0	2.78e-07	-1.42e-08	-2.43e-08
-0.024	0	0	2.6e-07	-1.18e-08	-1.94e-08
-0.02	0	0	2.45e-07	-9.52e-09	-1.52e-08
-0.016	0	0	2.33e-07	-7.43e-09	-1.16e-08
-0.012	0	0	2.24e-07	-5.47e-09	-8.32e-09
-0.008	0	0	2.18e-07	-3.6e-09	-5.38e-09
-0.004	0	0	2.14e-07	-1.78e-09	-2.64e-09
0	0	0	2.13e-07	-1.16e-23	-1.2e-23
0.004	0	0	2.14e-07	1.78e-09	2.64e-09
0.008	0	0	2.18e-07	3.6e-09	5.38e-09
0.012	0	0	2.24e-07	5.47e-09	8.32e-09
0.016	0	0	2.33e-07	7.43e-09	1.16e-08
0.02	0	0	2.45e-07	9.52e-09	1.52e-08
0.024	0	0	2.6e-07	1.18e-08	1.94e-08
0.028	0	0	2.78e-07	1.42e-08	2.43e-08
0.032	0	0	3e-07	1.69e-08	3.01e-08
0.036	0	0	3.27e-07	1.99e-08	3.69e-08
0.04	0	0	3.58e-07	2.32e-08	4.5e-08
0.044	0	0	3.94e-07	2.69e-08	5.47e-08
0.048	0	0	4.35e-07	3.11e-08	6.61e-08
0.052	0	0	4.83e-07	3.57e-08	7.97e-08
0.056	0	0	5.38e-07	4.09e-08	9.58e-08
0.06	0	0	5.98e-07	4.65e-08	1.15e-07
0.064	0	0	6.66e-07	5.28e-08	1.36e-07
0.068	0	0	7.39e-07	5.95e-08	1.61e-07
0.072	0	0	8.17e-07	6.65e-08	1.89e-07
0.076	0	0	8.97e-07	7.37e-08	2.19e-07
0.08	0	0	9.76e-07	8.09e-08	2.52e-07
0.084	0	0	1.05e-06	8.76e-08	2.85e-07
0.088	0	0	1.11e-06	9.34e-08	3.17e-07
0.092	0	0	1.17e-06	9.8e-08	3.47e-07
0.096	0	0	1.2e-06	1.01e-07	3.73e-07
0.1	0	0	1.21e-06	1.02e-07	3.92e-07
0.104	0	0	1.2e-06	1.01e-07	4.04e-07
0.108	0	0	1.16e-06	9.84e-08	4.08e-07
0.112	0	0	1.11e-06	9.39e-08	4.05e-07
0.116	0	0	1.04e-06	8.83e-08	3.95e-07
0.12	0	0	9.66e-07	8.17e-08	3.79e-07
0.124	0	0	8.85e-07	7.48e-08	3.59e-07
0.128	0	0	8.02e-07	6.77e-08	3.36e-07
0.132	0	0	7.23e-07	6.09e-08	3.12e-07
0.136	0	0	6.47e-07	5.44e-08	2.88e-07
0.14	0	0	5.77e-07	4.84e-08	2.65e-07
0.144	0	0	5.13e-07	4.3e-08	2.43e-07
0.148	0	0	4.56e-07	3.81e-08	2.22e-07
0.152	0	0	4.05e-07	3.37e-08	2.02e-07
0.156	0	0	3.6e-07	2.99e-08	1.85e-07
0.16	0	0	3.2e-07	2.65e-08	1.69e-07
0.164	0	0	2.85e-07	2.35e-08	1.54e-07
0.168	0	0	2.55e-07	2.09e-08	1.41e-07
0.172	0	0	2.28e-07	1.86e-08	1.29e-07
0.176	0	0	2.04e-07	1.66e-08	1.19e-07
0.18	0	0	1.84e-07	1.49e-08	1.09e-07
0.184	0	0	1.66e-07	1.33e-08	1.01e-07
0.188	0	0	1.49e-07	1.2e-08	9.29e-08
0.192	0	0	1.35e-07	1.08e-08	8.59e-08
0.196	0	0	1.23e-07	9.73e-09	7.96e-08
0.2	0	0	1.12e-07	8.8e-09	7.4e-08
